Date,Close_KO,High_KO,Low_KO,Open_KO,Volume_KO,symbol
,KO,KO,KO,KO,KO,
2025-12-01,71.94999694824219,72.91000366210938,71.93000030517578,72.5999984741211,14388100,KO
2025-12-02,70.66999816894531,71.80000305175781,70.43000030517578,71.80000305175781,19871300,KO
2025-12-03,70.80999755859375,71.4000015258789,70.61000061035156,70.87999725341797,17001700,KO
2025-12-04,70.44999694824219,71.33999633789062,70.37000274658203,70.83000183105469,17710000,KO
2025-12-05,70.0,70.70999908447266,69.87000274658203,70.31999969482422,13974600,KO
