Date,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,symbol
,MSFT,MSFT,MSFT,MSFT,MSFT,
2025-12-01,486.739990234375,489.8599853515625,484.6499938964844,488.44000244140625,23964000,MSFT
2025-12-02,490.0,493.5,486.32000732421875,486.7200012207031,19562700,MSFT
2025-12-03,477.7300109863281,484.239990234375,475.20001220703125,476.32000732421875,34615100,MSFT
2025-12-04,480.8399963378906,481.32000732421875,476.489990234375,479.760009765625,22318200,MSFT
2025-12-05,483.1600036621094,483.3999938964844,478.8800048828125,482.5199890136719,22587400,MSFT
