Date,Close_WFC,High_WFC,Low_WFC,Open_WFC,Volume_WFC,symbol
,WFC,WFC,WFC,WFC,WFC,
2025-12-01,85.4000015258789,86.55999755859375,85.16999816894531,85.83000183105469,9794000,WFC
2025-12-02,86.31999969482422,86.79000091552734,85.27999877929688,85.69000244140625,9484000,WFC
2025-12-03,89.3499984741211,89.38999938964844,86.26000213623047,86.26000213623047,14439300,WFC
2025-12-04,90.20999908447266,90.62999725341797,89.31999969482422,89.4000015258789,13433000,WFC
2025-12-05,89.83000183105469,91.11000061035156,89.55000305175781,89.98999786376953,11210400,WFC
