Date,Close_TSLA,High_TSLA,Low_TSLA,Open_TSLA,Volume_TSLA,symbol
,TSLA,TSLA,TSLA,TSLA,TSLA,
2025-12-01,430.1400146484375,433.6600036621094,425.2900085449219,425.32000732421875,57463600,TSLA
2025-12-02,429.239990234375,436.79998779296875,422.1199951171875,430.80999755859375,69336600,TSLA
2025-12-03,446.739990234375,447.9200134277344,431.1099853515625,432.1000061035156,87483000,TSLA
2025-12-04,454.5299987792969,454.6300048828125,445.3900146484375,449.94000244140625,71906500,TSLA
2025-12-05,455.0,458.8699951171875,451.6600036621094,453.0299987792969,56300700,TSLA
