Date,Close_JPM,High_JPM,Low_JPM,Open_JPM,Volume_JPM,symbol
,JPM,JPM,JPM,JPM,JPM,
2025-12-01,308.9200134277344,314.0400085449219,308.5400085449219,312.95001220703125,7727300,JPM
2025-12-02,307.8800048828125,310.4800109863281,307.0899963378906,308.739990234375,7249000,JPM
2025-12-03,312.1300048828125,312.3599853515625,306.79998779296875,307.20001220703125,8535300,JPM
2025-12-04,316.1000061035156,318.489990234375,313.0,313.260009765625,9627800,JPM
2025-12-05,315.0400085449219,318.4800109863281,314.67999267578125,315.6400146484375,6518100,JPM
