Date,Close_ORCL,High_ORCL,Low_ORCL,Open_ORCL,Volume_ORCL,symbol
,ORCL,ORCL,ORCL,ORCL,ORCL,
2025-12-01,200.94000244140625,203.5,196.6999969482422,200.5,13461200,ORCL
2025-12-02,201.10000610351562,209.6999969482422,200.0,205.13999938964844,19664500,ORCL
2025-12-03,207.72999572753906,207.9199981689453,199.39999389648438,200.3300018310547,19060500,ORCL
2025-12-04,214.3300018310547,215.41000366210938,206.32000732421875,207.86000061035156,23316900,ORCL
2025-12-05,217.5800018310547,219.5,213.6199951171875,219.0,24119600,ORCL
