symbol,datetime,headline,source,url,date
AAPL,2026-01-27 18:12:27,Market Movers: Affirm Upgraded to a Buy Rating,Yahoo,https://finnhub.io/api/news?id=09249cf8195f09c993240d15240bb030ac11cadc16c6d4f132c84a19af6d84c2,2026-01-27
AAPL,2026-01-26 23:57:06,"Stock market today: S&P 500, Nasdaq rise as tech leads, UnitedHealth weighs on Dow amid earnings flood",Yahoo,https://finnhub.io/api/news?id=21f0d9a2923e6e63c1c4427f6fc12442b30e79a2ae543bfcb4444290473d45fc,2026-01-26
AAPL,2026-01-27 17:45:00,"Buy, Sell or Hold the Apple Stock? Key Tips Ahead of Q1 Earnings",Yahoo,https://finnhub.io/api/news?id=287700556244c8b086124d8d9e3b970f9ad7ed8649c4b59c3d48d20273ea8116,2026-01-27
AAPL,2026-01-27 17:36:57,Do Wall Street Analysts Like Apple Stock?,Yahoo,https://finnhub.io/api/news?id=1272450d387903284067c3d6287509944733d5d21573bc9a171341e01376f984,2026-01-27
AAPL,2026-01-27 17:23:21,Jefferies Flags App Store and Google Ad Risks for Apple (AAPL),Yahoo,https://finnhub.io/api/news?id=e08984add5fd2e8d525de23517ee61cb5bc222b6f23ee67598f80bcdef59c1b0,2026-01-27
AAPL,2026-01-27 16:46:58,Will social media bans weigh on App Store revenue? Analyst sees limited impact,Yahoo,https://finnhub.io/api/news?id=9330ff1f39551fd20d086cfaa4ae567c8c7f97772d8d901b5555b6abf57a47fd,2026-01-27
AAPL,2026-01-27 16:39:00,Corning Stock Jumps 16% on Deal With Meta. Glass Maker Is an AI Darling.,Yahoo,https://finnhub.io/api/news?id=d7991ee8412e3535270d16b04462201e7ecc8b43311ee45edb8643fb6262d6b9,2026-01-27
AAPL,2026-01-27 15:44:00,The Viral AI Bot That Sent Cloudflare Stock to the Moon,Yahoo,https://finnhub.io/api/news?id=f5bf71938206a2c7cf4b64b552aaea392a26d5c578220833300442eff0f5de09,2026-01-27
AAPL,2026-01-27 15:38:00,Corning Stock Jumps on Deal With Meta. Glass Maker Is an AI Darling.,Yahoo,https://finnhub.io/api/news?id=4f6593add9c4af03be6db6a0fea55f1a8e3122ad61710eca9e7d7eb0a91872b2,2026-01-27
AAPL,2026-01-27 15:35:00,Should You Buy Apple Stock Before Jan. 29?,Yahoo,https://finnhub.io/api/news?id=316cf2e41980bdc522f34a961c08183e1462cf3502c67a8c655152602aa3cb0e,2026-01-27
AAPL,2026-01-27 15:28:17,Corning Stock Breaks Out After Striking Fiber-Optic Cable Deal With Meta Platforms,Yahoo,https://finnhub.io/api/news?id=ecc8fbbdb639c26415dad5e9aacc53a63143dc55ec38a2021b4e879dfbfd9d47,2026-01-27
AAPL,2026-01-27 15:17:07,Is It Too Late To Invest In Google Stock? Here’s Why Some Experts Think It Can Still Rise,Yahoo,https://finnhub.io/api/news?id=0fa813b1fd70b54ef6ac17b5a191ac534613f8e198059b6ecdfe50c0d8c14b47,2026-01-27
AAPL,2026-01-27 14:02:27,Apple: One Strong Quarter Away From A Reality Check,SeekingAlpha,https://finnhub.io/api/news?id=6da90af8e6330b649789e45c337aef94b5ade4338f8411fba130625748609399,2026-01-27
AAPL,2026-01-27 14:01:26,Wall Street Lunch: UnitedHealth Plunges On Weak Outlook,SeekingAlpha,https://finnhub.io/api/news?id=74b2303c1370d90f0091e0574fa2b9697ccdcac8402edcc3d345d5126a5dd7d7,2026-01-27
AAPL,2026-01-27 13:55:44,Stock Market Today: Dow Falls Ahead Of Fed Meet; UnitedHealth Plunges On Medicare News (Live Coverage),Yahoo,https://finnhub.io/api/news?id=a0d0e815b2bc9702be6f2a21063aa8e85849820746143caea10c4626d642718b,2026-01-27
AAPL,2025-12-23 13:55:00,NYSE Content Advisory: Pre-Market Update + S&P 500 Comes Off Third-Straight Winning Session,Yahoo,https://finnhub.io/api/news?id=e8ceddd444a009297b0d82d8dd41823080ca5cf5e401a36f17e5a5fd551694bb,2025-12-23
AAPL,2026-01-27 13:33:46,The $530 Billion AI Question: Which Big Tech Stock Is Winning?,SeekingAlpha,https://finnhub.io/api/news?id=c9319b60d6592b7773b4b07f342b5b8a7c45634173cfdca45fbc536b949e5e02,2026-01-27
AAPL,2026-01-27 13:29:25,More Than 100 Blue-Chips Are Reporting Earnings This Week,Yahoo,https://finnhub.io/api/news?id=6efa2f4a2f015af5aee00a06e535a727b50d39fed5029d9dbbc26e05ee0032dd,2026-01-27
AAPL,2026-01-27 13:07:29,"Earnings live: UnitedHealth stock tumbles, UPS and General Motors rise",Yahoo,https://finnhub.io/api/news?id=0feeb47f0747b3a4209e56e8602e8c46de03ca91f95310e540cb95037240cd92,2026-01-27
AAPL,2026-01-27 13:04:00,Palantir and 5 More Stocks That Might Catch Trump’s Attention—in a Good Way,Yahoo,https://finnhub.io/api/news?id=e36c72af3f073db4495b914be17e72e267244cc39a0b67e4fb756d8c98f10611,2026-01-27
AAPL,2026-01-27 12:01:00,Stocks and Gold Near Record Highs? Maybe It’s About Trust and Verify.,Yahoo,https://finnhub.io/api/news?id=d517854cab35940d9bcf7780f4f9683bbc5de79806fd4da0cf853936a24ae032,2026-01-27
AAPL,2026-01-27 12:00:35,"Mozilla is building an AI ‘rebel alliance’ to take on industry heavweights OpenAI, Anthropic ",CNBC,https://finnhub.io/api/news?id=fb8ebea05eed47535b3bb5dd24e156f2e938e59ddc6a99031e556f6f13025da4,2026-01-27
AAPL,2026-01-27 12:00:31,What S&P Earnings Would Be Without The Magnificent Seven,Yahoo,https://finnhub.io/api/news?id=8e48a3336df36ee4bf62858b1ebd2c93c8ac6aed6f2c8cd5f186776c000a5d8f,2026-01-27
AAPL,2026-01-27 12:00:00,Apple's AI progress raises 'key' questions ahead of Q1 earnings,Yahoo,https://finnhub.io/api/news?id=9443c3dd5b732d34437aa39283b2225c5b2400295195264332a5cce15d118136,2026-01-27
AAPL,2026-01-27 11:48:35,"Stocks gain tracking tech, Fed and trade",Yahoo,https://finnhub.io/api/news?id=4b4d9bbed0fc9eadde463fe1d2aa50d39b2596894d4e93822c5936d3fa5e2cd4,2026-01-27
AAPL,2026-01-27 11:27:16,Tesla’s Price Target Is Rising Even as Its Profit Outlook Tanks,Yahoo,https://finnhub.io/api/news?id=aedf51f3272904ba5d9a65de2a8257dd8eb950f2971541a2550654b818fa03fb,2026-01-27
