Date,Close_PEP,High_PEP,Low_PEP,Open_PEP,Volume_PEP,symbol
,PEP,PEP,PEP,PEP,PEP,
2025-12-01,148.0618133544922,148.36882333102412,147.07149953739335,147.19034747091814,7623300,PEP
2025-12-02,147.1705322265625,148.06180858886836,145.11067773997812,148.01230498839848,6830300,PEP
2025-12-03,146.6258544921875,149.2402822427544,146.4773134709577,147.2497570033305,5109200,PEP
2025-12-04,145.48699951171875,146.8140163362829,144.71455598034626,146.31885945150623,6803000,PEP
2025-12-05,145.02000427246094,145.8000030517578,144.50999450683594,145.6199951171875,5971300,PEP
