Date,Close_BAC,High_BAC,Low_BAC,Open_BAC,Volume_BAC,symbol
,BAC,BAC,BAC,BAC,BAC,
2025-12-01,52.96475601196289,53.621343723909824,52.934908528481905,53.22341016728565,30536500,BAC
2025-12-02,52.91501235961914,53.36268666959407,52.69615231527918,53.253254749936225,46073500,BAC
2025-12-03,53.81036376953125,53.95958981225188,52.905068471300034,52.97470627924275,37134400,BAC
2025-12-04,53.880001068115234,54.40725983611872,53.72082839504008,53.92974181689325,38529600,BAC
2025-12-05,53.95000076293945,54.83000183105469,53.7400016784668,53.93000030517578,33982200,BAC
