Date,Close_META,High_META,Low_META,Open_META,Volume_META,symbol
,META,META,META,META,META,
2025-12-01,640.8699951171875,645.3200073242188,637.760009765625,639.5499877929688,13029900,META
2025-12-02,647.0999755859375,647.8699951171875,638.0700073242188,642.3400268554688,11640900,META
2025-12-03,639.5999755859375,648.8499755859375,637.5499877929688,644.4099731445312,11134300,META
2025-12-04,661.530029296875,676.0999755859375,660.0499877929688,676.0,29874600,META
2025-12-05,673.4199829101562,674.6900024414062,662.3900146484375,664.0,21166900,META
